Time (seconds),min_x,min_y,min_z,max_x,max_y,max_z,peaks_x,peaks_y,peaks_z,mean_x,mean_y,mean_z,std_x,std_y,std_z
6.23,-1404,-2040,-2040,1140,1020,2040,3,3,5,44.52,468.52,-569.36,297.003,576.9649,861.1533
8.56,-524,-1956,-2040,400,1412,2040,1,2,4,-82.68001,406.4,-695.8,181.7718,481.8029,851.835
11.04,-684,-1488,-2040,500,880,1840,2,4,3,-172.16,382.68,-731.92,203.3329,405.2736,818.5767
13.21,-1292,-1648,-2040,852,876,2040,2,3,4,-163.52,283.72,-772.32,220.4492,486.1823,849.808
15.40,-2040,-1588,-2040,788,600,2040,1,3,5,-187.88,189.08,-772.36,327.5726,420.1237,922.8717
17.55,-1096,-1600,-2040,432,592,1880,3,3,2,-115.24,70.52,-819.96,227.1857,438.4725,958.0496
19.72,-1640,-1312,-2040,500,800,2020,2,3,5,-87.44,63.04,-816.12,221.6953,422.1814,853.3746
22.10,-1284,-1900,-2040,736,592,1944,2,2,2,-49.96,51.44,-797.96,223.1824,454.632,926.8316
24.35,-1680,-2036,-2040,412,468,1844,4,1,3,-106.96,28.72,-846.88,223.3717,496.9312,916.5507
26.56,-1928,-2040,-2040,636,664,2040,3,3,1,-169.68,72.84,-821.9199,279.2677,440.7242,944.8746
28.67,-996,-1888,-2040,436,828,2040,2,2,1,-153.12,104.08,-810.04,228.1824,467.2681,943.7709
31.04,-1092,-1172,-2040,420,500,1944,1,0,3,-185.24,98.68,-840.0399,174.1518,395.1024,931.2302
33.26,-2040,-1832,-2040,1004,1112,2040,3,3,4,-122.64,76.76,-868.6,286.691,516.0285,882.695
35.51,-1516,-2040,-2040,396,700,1804,2,4,3,-134.96,40.68,-861.16,226.5707,489.1155,935.2657
37.81,-1500,-1488,-2040,372,1032,2020,2,4,3,-101.48,43.04,-865.7599,208.1581,466.3057,946.2743
39.91,-1352,-1564,-2040,848,660,2040,1,1,2,-121.36,130.44,-802.84,265.7814,483.1589,932.7281
42.15,-1228,-2040,-2040,412,676,2040,1,3,2,-115.76,93.36,-842.96,213.9539,399.1544,955.3785
44.50,-2040,-2040,-2040,824,676,2040,1,4,3,-113.64,65.56,-864.44,305.2747,404.5425,881.9304
47.02,-940,-2040,-2040,244,684,2040,2,3,2,-100.84,118.24,-844.24,202.2595,462.3991,879.7716
49.41,-1868,-2040,-2040,244,796,2036,3,1,3,-176.56,105.44,-784.64,259.2975,581.451,905.4473
51.49,-1688,-1712,-2040,120,828,2040,0,3,2,-239.92,139.96,-825.2,273.8157,540.8862,929.4596
53.88,-1372,-2040,-2040,420,724,2040,4,3,3,-197.36,116.72,-950.2399,283.0182,401.2151,801.5121
56.66,-1648,-1492,-2040,872,696,2016,1,3,3,-143.24,91.44,-809.04,280.1244,410.947,966.2405
58.81,-1212,-1564,-2040,572,772,2040,4,7,2,-144.56,69.76,-858.96,255.126,491.4232,944.4396
61.05,-1340,-2040,-2040,700,1128,2040,2,5,4,-350.2,152.36,-675.96,397.5808,592.9803,941.7418
